token_count,approximate_input_length,needle_depth,question,answer,output
501,500,0,What was the best writing advice I got from my college classmate?,It sometimes surprises people when I tell them I write every week.,Write weekly reflections.
500,500,20,What was the best writing advice I got from my college classmate?,It sometimes surprises people when I tell them I write every week.,Write weekly reflections.
500,500,40,What was the best writing advice I got from my college classmate?,It sometimes surprises people when I tell them I write every week.,Write weekly reflections.
500,500,60,What was the best writing advice I got from my college classmate?,It sometimes surprises people when I tell them I write every week.,Write weekly reflections.
500,500,80,What was the best writing advice I got from my college classmate?,It sometimes surprises people when I tell them I write every week.,Write weekly reflections.
500,500,100,What was the best writing advice I got from my college classmate?,It sometimes surprises people when I tell them I write every week.,Write weekly reflections.
1001,1000,0,What was the best writing advice I got from my college classmate?,It sometimes surprises people when I tell them I write every week.,Write weekly reflections.
1000,1000,20,What was the best writing advice I got from my college classmate?,It sometimes surprises people when I tell them I write every week.,Write weekly reflections.
1000,1000,40,What was the best writing advice I got from my college classmate?,It sometimes surprises people when I tell them I write every week.,Write weekly reflections.
1000,1000,60,What was the best writing advice I got from my college classmate?,It sometimes surprises people when I tell them I write every week.,Write weekly reflections.
1000,1000,80,What was the best writing advice I got from my college classmate?,It sometimes surprises people when I tell them I write every week.,Write weekly reflections.
1000,1000,100,What was the best writing advice I got from my college classmate?,It sometimes surprises people when I tell them I write every week.,Write weekly reflections.
